index	original_href	normalized_url	cache_key	request_url	skipped	skip_reason	http_status	redirect_url	exception
11	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-dlya-samyh-blizkih-	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-dlya-samyh-blizkih-	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-dlya-samyh-blizkih-	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-dlya-samyh-blizkih-	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-dlya-samyh-blizkih-	
12	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-dnem-rogdeniya-rozovyj	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-dnem-rogdeniya-rozovyj	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-dnem-rogdeniya-rozovyj	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-dnem-rogdeniya-rozovyj	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-dnem-rogdeniya-rozovyj	
13	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-konfetti	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-konfetti	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-konfetti	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-konfetti	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-konfetti	
14	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-negnost	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-negnost	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-negnost	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-negnost	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-negnost	
15	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-yarkimi-peryami	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-yarkimi-peryami	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-yarkimi-peryami	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-yarkimi-peryami	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-s-yarkimi-peryami	
16	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-kraski-oseni	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-kraski-oseni	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-kraski-oseni	http://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-kraski-oseni	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/sharik-bubble-kraski-oseni	
17	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-deco-24-pautina	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-deco-24-pautina	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-deco-24-pautina	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-deco-24-pautina	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-deco-24-pautina	
18	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-zele-letayuschej-vedmy	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-zele-letayuschej-vedmy	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-zele-letayuschej-vedmy	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-zele-letayuschej-vedmy	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-zele-letayuschej-vedmy	
19	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykva-svetilnik-dgeka	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykva-svetilnik-dgeka	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykva-svetilnik-dgeka	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykva-svetilnik-dgeka	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykva-svetilnik-dgeka	
20	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykvy-dgeka-na-zakate	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykvy-dgeka-na-zakate	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykvy-dgeka-na-zakate	http://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykvy-dgeka-na-zakate	no		200	https://shariki52.ru/gelievye-shary/shary-bubble/shar-bubble-22-tykvy-dgeka-na-zakate	
